root@generic:/data/misc/pstree # ./ptree                                       
Number of process: 55
Name	PID	State	PPID	FCPID	NSPID	UID
swapper	0	0	0	1	0	0
	init	1	1	0	46	2	0
		ueventd	46	1	1	0	62	0
		logd	62	1	1	0	63	1036
		vold	63	1	1	0	71	0
		healthd	71	1	1	0	72	0
		lmkd	72	1	1	0	73	0
		servicemanager	73	1	1	0	74	1000
		surfaceflinger	74	1	1	0	76	1000
		qemud	76	1	1	0	79	0
		sh	79	1	1	0	80	2000
		adbd	80	1	1	224	83	0
			sh	224	1	80	1644	0	0
				ptree	1644	0	224	0	0	0
		rild	83	1	1	0	84	1001
		drmserver	84	1	1	0	86	1019
		installd	86	1	1	0	87	0
		keystore	87	1	1	0	89	1017
		gatekeeperd	89	1	1	0	92	1000
		perfprofd	92	1	1	0	93	0
		fingerprintd	93	1	1	0	1328	1000
		debuggerd	1328	1	1	0	1592	0
		bootanimation	1592	1	1	0	1594	1003
		main	1594	0	1	0	1595	0
		netd	1595	0	1	1643	1596	0
			iptables	1643	64	1595	0	0	0
		mediaserver	1596	1	1	0	0	1013
	kthreadd	2	1	0	3	0	0
		ksoftirqd/0	3	1	2	0	4	0
		kworker/0:0	4	1	2	0	6	0
		khelper	6	1	2	0	7	0
		sync_supers	7	1	2	0	8	0
		bdi-default	8	1	2	0	9	0
		kblockd	9	1	2	0	10	0
		rpciod	10	1	2	0	12	0
		kswapd0	12	1	2	0	13	0
		fsnotify_mark	13	1	2	0	14	0
		crypto	14	1	2	0	25	0
		binder	25	1	2	0	26	0
		deferwq	26	1	2	0	27	0
		kworker/u:1	27	1	2	0	29	0
		kworker/u:2	29	1	2	0	34	0
		mtdblock0	34	1	2	0	39	0
		mtdblock1	39	1	2	0	40	0
		mmcqd/0	40	1	2	0	45	0
		mtdblock2	45	1	2	0	48	0
		jbd2/mtdblock0-	48	1	2	0	49	0
		ext4-dio-unwrit	49	1	2	0	54	0
		jbd2/mtdblock1-	54	1	2	0	55	0
		ext4-dio-unwrit	55	1	2	0	60	0
		jbd2/mtdblock2-	60	1	2	0	61	0
		ext4-dio-unwrit	61	1	2	0	68	0
		kauditd	68	1	2	0	1042	0
		kworker/0:1	1042	1	2	0	1577	0
		flush-31:1	1577	1	2	0	0	0
